Year,Country,Gold,Silver,Bronze,Total,Rank,NumMedals,Country Code,Pop,locCity
1960,Afghanistan,0,0,0,0,0,301,AFG,8774440,Roma
1960,Albania,0,0,0,0,0,301,ALB,1618829,Roma
1960,Algeria,0,0,0,0,0,301,DZA,11277757,Roma
1960,American Samoa,0,0,0,0,0,301,ASM,20012,Roma
1960,Andorra,0,0,0,0,0,301,ADO,13414,Roma
1960,Angola,0,0,0,0,0,301,AGO,4965988,Roma
1960,Antigua and Barbuda,0,0,0,0,0,301,ATG,54681,Roma
1960,Argentina,0,1,1,2,28,301,ARG,20623998,Roma
1960,Armenia,0,0,0,0,0,301,ARM,1867396,Roma
1960,Aruba,0,0,0,0,0,301,ABW,54208,Roma
1960,Australia,8,8,6,22,5,301,AUS,10276477,Roma
1960,Austria,1,1,0,2,25,301,AUT,7047539,Roma
1960,Azerbaijan,0,0,0,0,0,301,AZE,3897889,Roma
1960,"Bahamas, The",0,0,0,0,0,301,BHS,109526,Roma
1960,Bahrain,0,0,0,0,0,301,BHR,162501,Roma
1960,Bangladesh,0,0,0,0,0,301,BGD,49537147,Roma
1960,Barbados,0,0,0,0,0,301,BRB,230858,Roma
1960,Belarus,0,0,0,0,0,301,BLR,8198000,Roma
1960,Belgium,0,2,2,4,19,301,BEL,9153489,Roma
1960,Belize,0,0,0,0,0,301,BLZ,92068,Roma
1960,Benin,0,0,0,0,0,301,BEN,2431620,Roma
1960,Bermuda,0,0,0,0,0,301,BMU,44400,Roma
1960,Bhutan,0,0,0,0,0,301,BTN,224155,Roma
1960,Bolivia,0,0,0,0,0,301,BOL,3353125,Roma
1960,Bosnia and Herzegovina,0,0,0,0,0,301,BIH,3305501,Roma
1960,Botswana,0,0,0,0,0,301,BWA,524173,Roma
1960,Brazil,0,0,2,2,29,301,BRA,72775883,Roma
1960,Brunei Darussalam,0,0,0,0,0,301,BRN,81817,Roma
1960,Bulgaria,1,3,3,7,13,301,BGR,7867374,Roma
1960,Burkina Faso,0,0,0,0,0,301,BFA,4829291,Roma
1960,Burundi,0,0,0,0,0,301,BDI,2786740,Roma
1960,Cambodia,0,0,0,0,0,301,KHM,5720019,Roma
1960,Cameroon,0,0,0,0,0,301,CMR,5361367,Roma
1960,Canada,0,1,0,1,40,301,CAN,17909009,Roma
1960,Cape Verde,0,0,0,0,0,301,CPV,212247,Roma
